RS Wheels;RS Wheels 280 5,5x13 4x98 ET35 DIA58,6 (MLB);280;5,5;13;98;0;35;58,6;MLB;литой;4;17.09.2014 09:32:49;1;650,25;0,00;650,25;747,79;kh_MS Group;Харьков;1000228289;products/1000010099.jpg;products/1000010100.jpg;products/1000010101.jpg
RS Wheels;RS Wheels 5027 6x13 4x100 ET38 DIA73,1 (MLS);5027;6;13;100;0;38;73,1;MLS;литой;4;17.09.2014 09:32:49;3;650,25;0,00;650,25;747,79;kh_MS Group;Харьков;1000237176;products/1000006507.jpg;;
RS Wheels;RS Wheels 522D 5,5x13 4x100 ET35 DIA67,1 (silver);522D;5,5;13;100;0;35;67,1;silver;литой;4;17.09.2014 09:32:53;1;650,25;0,00;650,25;747,79;kh_MS Group;Харьков;1000228269;products/1000010033.jpg;;
RS Wheels;RS Wheels 522D 5,5x13 4x114,3 ET35 DIA59,6 (MLHS);522D;5,5;13;114,3;0;35;59,6;MLHS;литой;4;17.09.2014 09:32:53;4;650,25;0,00;650,25;747,79;kh_MS Group;Харьков;1000228274;products/1000010033.jpg;;
RS Wheels;RS Wheels 562D 5,5x13 4x100 ET35 DIA67,1 (silver);562D;5,5;13;100;0;35;67,1;silver;литой;4;17.09.2014 09:32:49;1;650,25;0,00;650,25;747,79;kh_MS Group;Харьков;1000228268;products/1000003465.jpg;;
RS Wheels;RS Wheels 708 5,5x13 4x98 ET30 DIA58,6 (MS);708;5,5;13;98;0;30;58,6;MS;литой;4;17.09.2014 09:32:49;1;650,25;0,00;650,25;747,79;kh_MS Group;Харьков;1000228281;products/1000009986.jpg;;
Kormetal;Kormetal KM 223 Firebird 5,5x13 4x100 ET28 DIA67,1 (HB);KM 223 Firebird;5,5;13;100;0;28;67,1;HB;литой;4;17.09.2014 11:35:08;2;578,00;578,00;578,00;664,70;kiev_Склад колес;Киев;1000211282;products/1000002898.jpg;;
TG Racing;TG Racing LYN 001 5,5x13 4x98 ET38 DIA58,5;LYN 001;5,5;13;98;0;38;58,5;;литой;4;16.09.2014 14:58:21;20;578,00;664,70;578,00;664,70;kiev_Колесо;Киев;257412;products/1000009112.jpg;;
Скад;Скад Комета 2 5,5x13 4x98 ET38 DIA58,6 (селена);Комета 2;5,5;13;98;0;38;58,6;селена;литой;4;16.09.2014 12:11:30;4;532,00;600,00;532,00;611,80;od_Энергия;Одесса;14132;products/1000004795.jpg;;
League;League 160 5,5x13 4x98 ET38 DIA58,6 (HB);160;5,5;13;98;0;38;58,6;HB;литой;4;17.09.2014 10:29:36;1;745,62;0,00;745,62;857,46;kh_Zorat Wheels;Харьков;1000252813;products/1000005209.jpg;;
Скад;Скад Комета 2 5,5x13 4x98 ET38 DIA58,6 (селена-супер);Комета 2;5,5;13;98;0;38;58,6;селена-супер;литой;4;16.09.2014 12:11:30;8;532,00;600,00;532,00;611,80;od_Энергия;Одесса;171022;products/1000004795.jpg;;
Скад;Скад Спайдер 5,5x13 4x98 ET35 DIA58,6 (селена);Спайдер;5,5;13;98;0;35;58,6;селена;литой;4;16.09.2014 12:11:37;20;532,00;600,00;532,00;611,80;od_Энергия;Одесса;38018;products/1000004826.jpg;;
Скад;Скад Пионер 5,5x13 4x98 ET35 DIA58,6 (гальвано);Пионер;5,5;13;98;0;35;58,6;гальвано;литой;4;16.09.2014 12:11:36;20;532,00;600,00;532,00;611,80;od_Энергия;Одесса;121075;products/1000004817.jpg;;
Скад;Скад Веритас 5,5x13 4x98 ET35 DIA58,6 (селена);Веритас;5,5;13;98;0;35;58,6;селена;литой;4;16.09.2014 12:11:22;20;532,00;600,00;532,00;611,80;od_Энергия;Одесса;172691;products/Skad_Veritas_3.jpg;;
Скад;Скад Омега 5,5x13 4x98 ET30 DIA58,6 (селена);Омега;5,5;13;98;0;30;58,6;селена;литой;4;16.09.2014 12:11:33;15;563,00;658,00;563,00;647,45;od_Энергия;Одесса;138606;products/Skad_Omega_3.jpg;;
Скад;Скад Омега 5,5x13 4x98 ET30 DIA58,6 (гальвано);Омега;5,5;13;98;0;30;58,6;гальвано;литой;4;16.09.2014 12:11:33;20;532,00;600,00;532,00;611,80;od_Энергия;Одесса;138607;products/Skad_Omega_2.jpg;;
Скад;Скад Омега 5,5x13 4x98 ET30 DIA58,6 (алмаз);Омега;5,5;13;98;0;30;58,6;алмаз;литой;4;16.09.2014 12:11:33;20;532,00;600,00;532,00;611,80;od_Энергия;Одесса;138605;products/1000004809.jpg;;
Скад;Скад Спарта 5,5x13 4x98 ET35 DIA58,6 (селена);Спарта;5,5;13;98;0;35;58,6;селена;литой;4;16.09.2014 12:11:38;20;532,00;600,00;532,00;611,80;od_Энергия;Одесса;160731;products/1000005874.jpg;;
Скад;Скад Спирит 5,5x13 4x98 ET35 DIA58,6 (селена);Спирит;5,5;13;98;0;35;58,6;селена;литой;4;16.09.2014 12:11:20;20;532,00;600,00;532,00;611,80;od_Энергия;Одесса;145410;products/1000005875.jpg;;
Скад;Скад Спирит 5,5x13 4x98 ET35 DIA58,6 (гальвано);Спирит;5,5;13;98;0;35;58,6;гальвано;литой;4;16.09.2014 12:11:20;8;559,00;654,00;559,00;642,85;od_Энергия;Одесса;161466;products/Skad_Spirit_2.jpg;;
Aez;Aez Ecco 6x14 5x100 ET33 DIA60,1;Ecco;6;14;100;0;33;60,1;;литой;5;17.09.2014 11:31:25;1;288,00;0,00;288,00;331,20;lv_ШипШина;Львов;33981;products/1000005140.jpg;;
Кременчуг;Кременчуг Daewoo 5,5x14 4x100 ET49 DIA56,6;Daewoo;5,5;14;100;0;49;56,6;;стальной;4;17.09.2014 11:31:33;20;352,00;0,00;352,00;404,80;lv_ШипШина;Львов;46423;products/Silver4.jpg;products/Black4.jpg;
Кременчуг;Кременчуг Renault Logan 5,5x14 4x100 ET43 DIA60;Renault Logan;5,5;14;100;0;43;60;;стальной;4;17.09.2014 11:31:33;4;348,00;0,00;348,00;400,20;lv_ШипШина;Львов;133135;products/Silver4.jpg;products/Black4.jpg;
Евродиск;Евродиск 53A45D 5,5x14 4x100 ET45 DIA57,1;53A45D;5,5;14;100;0;45;57,1;;стальной;4;17.09.2014 11:31:33;8;539,00;0,00;539,00;619,85;lv_ШипШина;Львов;38107;products/Evrodisk_53A45D_1.jpg;;
Storm;Storm Z-402 6x14 4x100 ET 35 Dia 67,1 (BP);Z-402;6;14;100;0;35;67,1;BP;литой;4;17.09.2014 11:31:23;3;690,00;0,00;690,00;793,50;lv_ШипШина;Львов;1000236180;products/1000005805.jpg;;
Sportmax Racing;Sportmax Racing SR253 6x14 4x108 ET38 DIA67,1 (HB);SR253;6;14;108;0;38;67,1;HB;литой;4;15.09.2014 16:49:50;4;812,00;952,00;812,00;933,80;kiev_Шинный ряд;Киев;1000252416;products/1000005588.jpg;products/Sportmax_Racing_SR253_2.jpg;
Sportmax Racing;Sportmax Racing SR628 6x14 4x98 ET35 DIA58,6 (HB);SR628;6;14;98;0;35;58,6;HB;литой;4;16.09.2014 17:02:04;4;677,60;0,00;677,60;779,24;kiev_Шинные технологии;Киев;1000252418;products/1000005594.jpg;;
Sportmax Racing;Sportmax Racing SR680 6x14 4x98 ET 35 Dia 58,6 (HB);SR680;6;14;98;0;35;58,6;HB;литой;4;16.09.2014 17:02:04;4;677,60;0,00;677,60;779,24;kiev_Шинные технологии;Киев;1000235824;products/1000007725.jpg;;
Storm;Storm Z-403 6x14 4x100 ET35 DIA67,1 (MtBP);Z-403;6;14;100;0;35;67,1;MtBP;литой;4;15.09.2014 17:19:51;2;602,70;0,00;602,70;693,11;dn_ШинШина;Донецк;1000236183;products/1000004070.jpg;products/1000004071.jpg;
Storm;Storm SM-597 6x14 4x114,3 ET35 DIA67,1 (BP);SM-597;6;14;114,3;0;35;67,1;BP;литой;4;17.09.2014 11:30:17;4;586,00;0,00;586,00;673,90;kir_СДК-Автобан;Кировоград;1000229114;products/1000003968.jpg;;
Sportmax Racing;Sportmax Racing SR1147 6x14 4x100 ET35 DIA67,1 (BP);SR1147;6;14;100;0;35;67,1;BP;литой;4;15.09.2014 16:49:50;4;770,00;910,00;770,00;885,50;kiev_Шинный ряд;Киев;1000235760;products/1000008891.jpg;;
Sportmax Racing;Sportmax Racing SR2021 6x14 4x100 ET35 DIA67,1;SR2021;6;14;100;0;35;67,1;;литой;4;15.09.2014 16:49:50;4;812,00;952,00;812,00;933,80;kiev_Шинный ряд;Киев;1000235764;products/1000005579.jpg;;
Storm;Storm BK-174 6x14 4x98 ET35 DIA58,6 (MB);BK-174;6;14;98;0;35;58,6;MB;литой;4;17.09.2014 11:30:18;4;432,00;0,00;432,00;496,80;kir_СДК-Автобан;Кировоград;1000236233;products/1000005656.jpg;;
Sportmax Racing;Sportmax Racing SR2027 6x14 4x98 ET35 DIA58,6 (HB);SR2027;6;14;98;0;35;58,6;HB;литой;4;15.09.2014 17:15:51;4;742,56;0,00;742,56;853,94;pol_Шины Полтава;Полтава;1000235816;products/1000005580.jpg;;
Sportmax Racing;Sportmax Racing SR231 6x14 4x98 ET35 DIA58,6 (HB);SR231;6;14;98;0;35;58,6;HB;литой;4;16.09.2014 17:02:04;4;677,60;0,00;677,60;779,24;kiev_Шинные технологии;Киев;1000235818;products/1000011293.jpg;;
